EquipmentCode,ComponentName,Subsystem
B1P01,الکترو موتور,سیستم هیدرولیک
B1P01,گیربکس,سیستم هیدرولیک
B1P01,پمپ هیدرولیک 22 لیتری,سیستم هیدرولیک
B1P01,فیلتر هیدرولیک,سیستم هیدرولیک
B1P01,پک هیدرولیک,سیستم هیدرولیک
B1P01,شیرهای پنوماتیک,سیستم پنوماتیک
B1P01,سیستم پنوماتیک,سیستم پنوماتیک
B1P01,فیلتر ایزو,سیستم انتقال مواد
B1P01,فیلتر پولیول,سیستم انتقال مواد
B1P01,مخزن ایزو,سیستم انتقال مواد
B1P01,مخزن پلیول,سیستم انتقال مواد
B1P01,سیستم انتقال مواد,سیستم انتقال مواد
B1P01,تابلو برق B1P1E04,سیستم برق و کنترل
B1P01,سیستم کنترل,سیستم برق و کنترل
B1P01,Mass Flow Meter,سیستم برق و کنترل
B1P01,فشارسنج‌ها,سیستم برق و کنترل
B1P01,دماسنج Pt 100,سیستم برق و کنترل
B1P01,سیستم خنک‌کننده,سیستم خنک‌کاری
B1P01,فریم و بدنه,-
B1P02,الکترو موتور,سیستم هیدرولیک
B1P02,گیربکس,سیستم هیدرولیک
B1P02,پمپ هیدرولیک,سیستم هیدرولیک
B1P02,فیلتر هیدرولیک,سیستم هیدرولیک
B1P02,فشارسنج‌ها,سیستم برق و کنترل
B1P02,Mass Flow Meter,سیستم برق و کنترل
B1P02,سیستم کنترل,سیستم برق و کنترل
B1P02,دماسنج Pt 100,سیستم برق و کنترل
B1P02,سیستم هیدرولیک,سیستم هیدرولیک
B1P02,فیلتر پولیول,سیستم انتقال مواد
B1P02,فیلتر ایزو,سیستم انتقال مواد
B1P02,مخزن پلیول,سیستم انتقال مواد
B1P02,مخزن ایزو,سیستم انتقال مواد
B1P02,تابلو برق B1P2E05,سیستم برق و کنترل
B1P02,سیستم انتقال مواد,سیستم انتقال مواد
B1P02,سیستم پنوماتیک,سیستم پنوماتیک
B1P02,فریم و بدنه,-
B1P02,سیستم خنک‌کننده,سیستم خنک‌کاری
B1P03,سروموتورها,سیستم حرکتی
B1P03,هد تزریق,سیستم تزریق
B1P03,سیستم هیدرولیک,سیستم هیدرولیک
B1P03,سیستم پنوماتیک,سیستم پنوماتیک
B1P03,فریم و بدنه,-
B1P03,تابلوهای برق,سیستم برق و کنترل
B1P03,سرودرایوها,سیستم حرکتی
B1P03,کنترل پنل,سیستم برق و کنترل
B1P03,نرم‌افزار,سیستم برق و کنترل
B1P03,سیستم خنک‌کننده,سیستم خنک‌کاری
B1P03,وایرینگ,سیستم برق و کنترل
B1P03,سنسورها,سیستم برق و کنترل
B1P04,سرو موتورها,سیستم حرکتی
