EquipmentCode,Safety,Product,Cost,Repair,TotalScore
B1P01,25,25,25,25,100
B1P02,25,25,25,25,100
B1P03,25,25,25,25,100
B1P04,25,25,25,25,100
B1P05,15,1,25,25,66
B1P05-1,20,25,10,10,65
B1P06,25,25,25,25,100
B1P07,25,25,25,25,100
B1P08,15,20,15,10,60
B1P08-1,15,20,10,10,55
B1P08-2,20,20,10,10,60
B1P08-3,10,15,10,10,45
B1P08-4,10,10,10,10,40
B1P08-5,20,15,15,10,60
B1PF09,25,25,25,20,95
B1PF09-1,20,25,20,20,75
B1PF10,25,25,25,25,100
B1PF11,25,25,25,25,100
B1PF12,20,20,20,25,85
B1PF13,25,1,5,1,32
B1PF14,25,1,5,1,32
B1PT01 iso,15,1,1,1,18
B1PT02 iso,15,1,1,1,18
B1PT03 iso,15,20,10,10,55
B1PT04 iso,15,20,10,10,55
B1PT05 iso,10,15,10,10,45
B1PT06 iso,10,20,10,15,55
B1PT1 pol,15,1,1,1,18
B1PT2 pol,15,1,1,1,18
B1PT3 pol,15,1,1,1,18
B1PT4 pol,15,1,1,1,18
B1PT5 pol,10,15,10,10,45
B1PT6 pol,10,15,10,10,45
B1BT,20,25,25,10,80
B1BT 9955,0,0,0,0,15
B1BT cata,0,0,0,0,15
B1AD4,10,10,10,10,40
B1AD6,10,15,15,10,50
B1AF1,20,25,25,25,95
B1AF2,10,10,10,10,40
B1AF3,10,10,10,10,40
B1AF4,10,15,15,10,50
B1Electric,0,0,0,0,60
B1FF01,0,0,0,0,30
B1PF15,25,1,5,1,32
FA-CE 9,25,1,5,1,32
B1Cool Air,0,0,0,0,20
