FailureDate,EquipmentCode,ComponentName,Description,RepairAction,Status
14001208,B1P01,سیستم هیدرولیک,افت فشار هیدرولیک,فیلتر هیدرولیک تمیزکاری و نصب گردید,بسته شده
14001208,B1P01,مخازن مواد,شکستن نگهدارنده کلمپ درب قالب 13,پایه نگهدارنده روی درب قالب جوشکاری و نصب گردید,بسته شده
14001209,B1P01,مخازن مواد,خرابی دربند دو قالب,بازویی قالب جوشکاری و تعمیر شد,بسته شده
14031012,B1P01,الکترو موتور ها,گرفتگی مسیر حرکت پروانه,قاب باز و نظافت گردید,بسته شده
14000826,B1P02,گیربکس,افت فشار هیدرولیک,شستشوی فیلتر روغن یونیت هیدرولیک,بسته شده
14000826,B1P02,هیدرولیک,نشتی روغن هیدرولیک از پرس شیلنگ جک تزریق,شیلنگ هیدرولیک جک تزریق تعویض شد,بسته شده
14001208,B1P02,هیدرولیک,افت فشار هیدرولیک,فیلتر هیدرولیک تمیزکاری و نصب گردید,بسته شده
14030222,B1P03,سرو درایو ها,سوختن قطعه های الکترونیکی درایو,ارسال درایو و سروو موتور جهت تعمیر,بسته شده
14030322,B1P03,سرو موتورها,سوختن انکودر و دفرم شدن شافت,تعویض شفت، انکودر، ترمز موتور,بسته شده
14040317,B1PF11,موتور تک,خاموش شدن موتور تک بر اثر افت فشار روغن,تعویض کنتاکتور، بررسی پرشر سویچ، تعمیر اساسی موتور,بسته شده
14031010,B1PF12,خطوط انتقال جوهر,ارور افت فشار روغن و عدم چاپ زدن,شستشوی لوله های انتقال جوهر,بسته شده
14001208,B1P06,قالب,شکستن نگهدارنده کلمپ درب قالب 13,جوشکاری و نصب,بسته شده
14001209,B1P06,قالب,خرابی دربند دو قالب,جوشکاری و تعمیر,بسته شده
14031018,B1P06,دنده شانه ای,تنظیم دنده شانه ای,تنظیم و روانکاری,باز
14040216,B1P06,یاتاقان ها,روانکاری و گریس کاری,انجام شد,بسته شده
14031227,B1P06,یاتاقان ها,بازرسی یاتاقان ها,کنترل و بررسی,باز
14010802,BT03,عدل گیر,شکستگی بال عدل گیر,جوشکاری و ترمیم,بسته شده
14030709,BT05,بدنه چراغ ها,شکستگی چراغ عقب,تعویض چراغ,بسته شده
14031005,BT08,سیستم برقی,سوزاندن پمپ بنزین,تعویض پمپ و سنسور,بسته شده
14031102,BT05,سیستم برقی,خرابی باتری,تعویض باتری,بسته شده
14031012,B1P02,سیستم خنک‌کننده,نشتی آب چیلر,تعویض واشر و شیلنگ,باز
14031201,B1P02,سیستم هیدرولیک,نشتی هیدرولیک,تعویض شیلنگ,باز
14031113,B1P02,سیستم هیدرولیک,نشتی آکومولاتور,تعویض آکومولاتور,بسته شده
14031114,TOOL15,موتور,سوختن الکترو موتور,ارسال برای سیم پیچی,بسته شده
14030910,TOOL16,موتور,خرابی بلبرینگ,تعویض بلبرینگ,باز
14030910,B1PF13,موتور,خرابی بلبرینگ,تعویض بلبرینگ,باز
14031001,TOOL15,گیربکس,پایان عمر مصرف,تعویض,باز
14031018,B4Cut1,گیربکس ها,تعویض روغن گیربکس ها,انجام شد,باز
14030901,BT10,موتور,تعویض روغن موتور,انجام شد,بسته شده
14030904,BT02,موتور,شکستگی پیچ نگهدارنده دینام,تعمیر و نصب,بسته شده
14030905,BT02,موتور,تعویض روغن موتور,انجام شد,بسته شده
14030905,BT02,موتور,تعویض فیلتر روغن,انجام شد,باز
14030905,BT02,موتور,تعویض فیلتر هوا,انجام شد,باز
14031023,B1P01,تابلو برق,گرد و غبار سرویس پروانه,نظافت,باز
14031020,B1P01,الکترو موتور,گرد و غبار سرویس پروانه,نظافت,باز
14031018,B1P06,دنده شانه ای,کثیف شدن دنده ها,نظافت و گریس کاری,باز
14031018,B1P06,گریس خور,کثیف شدن گریس خورها,نظافت,باز
14031019,B1P06,گیربکس,پایان عمر مصرف,تعویض روغن,باز
14031029,BT02,موتور,پایان عمر مصرف,سرویس دوره ای,باز
14031102,BT05,سیستم برقی,خرابی باتری,تعویض باتری,بسته شده
14031113,B1P02,سیستم هیدرولیک,نشتی مخزن آکومولاتور,تعویض,بسته شده
14031114,TOOL15,موتور,سوختن الکترو موتور,سیم پیچی,بسته شده
